Product_Sold_Count($)
106
1
10
21
7
100000
4151
14000
3
108
6520
8115
419
6389
5147
7417
55000
9862
10000
99
11
100
556
100000
100000
40
14
2
506
4
8
83
59
668
1686
21
30
34
5
746
43
8
256
7
1
43
892
10000
118
173
45
28
1012
2
96
1052
18
5
79
15
3
167
2
5
4
64
42
806
3
2
100000
100
1339
226
899
971
2
88
2
24
12
32
1
172
1369
2326
120
1
73
20
3486
12
1960
44
2
